Bares 7 71 3 61 67 70
Carthew 11 28 81 27 10 60
Onstad 97 15 24 95 80 31
Torguson 3 56 66 55 17 75
Gallien 26 0 39 92 58 56
Sultaire 45 85 48 23 12 71
Preisach 18 70 0 59 61 16
Hinderman 49 0 75 25 86 72
Dodwell 56 70 42 32 59 32
Sublette 83 87 32 10 43 53
Ardis 72 18 48 7 37 86
Torrence 90 57 95 36 73 31
Gunzalez 78 57 8 23 66 25
Elshere 39 14 50 33 61 30
Wolff 9 55 60 82 24 97
Valdivieso 82 83 82 24 82 20
Freiling 70 35 11 28 93 99
Benauides 70 58 2 57 22 77
Wair 43 95 77 1 27 3
Vecchio 92 65 82 80 84 6
Alvord 92 23 98 56 88 81
Bice 11 0 55 89 86 43
Kornbluth 34 37 23 38 63 19
Mischel 66 76 8 61 65 49
Pember 80 82 37 22 72 94
Taschereau 87 72 73 72 8 85
Vandellen 10 48 64 2 89 10
Dilallo 49 69 92 63 72 77
Parmalee 40 96 36 55 26 13
Waley 74 79 39 98 84 22
Brudner 5 34 19 48 9 12
Ganner 97 44 46 89 42 51
Cabla 86 27 77 86 48 83
Hirota 57 52 62 77 25 74
Singerman 49 21 25 41 73 55
Styles 81 65 8 9 56 18
Avella 53 17 31 71 32 56
Motonaga 68 9 92 31 75 69
Killoy 25 85 1 76 71 57
Delmendo 31 19 88 91 11 42
Menefee 0 86 12 75 74 66
Zeagler 38 57 52 5 36 87
Joler 76 31 43 80 67 96
Ismael 0 15 50 8 68 4
Jochim 97 44 68 63 72 9
Gagg 38 34 82 51 22 19
Taj 87 73 90 75 72 23
Butzen 83 96 12 85 33 92
Rivali 50 65 56 55 3 41
Horst 11 24 90 52 97 17
Derossett 55 25 34 6 38 30
Dulmage 44 24 48 43 77 86
Strasburger 6 55 50 8 21 8
Hisey 62 13 80 67 16 6
Friling 90 92 95 13 69 26
Boxx 67 33 7 36 80 33
Carnrike 30 68 79 73 66 71
Graham 47 39 20 84 87 42
Biamonte 60 43 50 46 19 98
Heinbaugh 20 9 98 0 18 63
Steinke 27 49 77 18 62 1
Cerrato 18 36 79 15 81 3
Autrey 38 17 95 73 87 58
Dukett 49 45 75 2 40 61
Corneille 15 31 8 7 82 9
Gilhooly 92 69 54 96 43 83
Laclaire 39 50 67 91 48 10
Sago 88 70 97 0 25 38
Minion 54 29 51 99 16 84
Imoto 79 2 68 92 16 4
Yasso 26 83 36 3 13 54
Saulters 94 1 26 36 23 49
Kalisch 53 68 58 25 64 39
Melian 36 39 96 90 74 42
Trowel 30 70 92 28 52 65
Mccullers 10 77 43 95 23 34
Orenstein 35 96 62 18 41 78
Ising 68 15 46 8 59 54
Moretti 47 2 90 44 8 77
Amante 96 70 68 22 95 40
Palso 21 64 97 55 49 44
Weathers 34 45 71 23 7 56
Trusler 43 40 61 29 23 88
Hilyard 56 35 53 4 20 16
Hiott 81 80 83 63 58 62
Gordan 15 32 78 31 53 57
Buntrock 67 50 78 84 53 55
Wublin 42 73 35 7 40 6
Berks 4 74 57 47 51 15
Frauenkron 20 11 21 14 95 91
Nedley 98 55 49 33 36 1
Dyche 39 1 13 82 14 23
Hinegardner 26 98 84 21 9 2
Dottle 98 83 42 19 51 4
Monachino 43 13 58 97 40 99
Holleran 58 34 13 65 16 67
Cardo 23 96 40 61 13 57
Camic 27 54 81 45 3 56
Addesso 79 85 87 19 94 78
Echave 9 44 86 49 89 40
Kirson 2 99 48 91 39 26
Boelter 63 12 1 87 75 9
Reckard 98 76 25 75 52 69
Marchaland 9 44 69 6 76 8
Hlastala 33 31 79 36 24 63
Sattel 87 12 37 76 42 5
Fradette 60 75 62 76 17 77
Biby 48 94 29 30 81 31
Ramnarine 29 45 26 22 75 39
Simper 49 43 16 47 34 43
Laperouse 71 96 65 66 8 96
Pound 80 66 76 4 49 61
Pembleton 62 63 57 9 5 42
Fiume 92 37 29 59 7 60
Dolliver 89 64 58 91 92 43
Gagliardo 28 7 3 67 35 30
Schlup 50 48 96 42 30 83
Holstege 66 59 79 12 50 97
Dinwoodie 96 84 92 56 73 49
Reyers 42 68 2 34 9 19
Pimentel 70 97 98 89 97 48
Pickenpaugh 37 72 57 25 60 81
Tavolacci 56 88 45 28 66 13
Fogt 42 44 61 21 74 62
Foxworthy 36 35 98 7 54 84
Heinritz 8 32 21 53 64 27
Ciaschi 88 92 14 84 43 15
Schwanebeck 85 42 95 4 86 0
Pintos 31 53 68 13 93 35
Kabanuck 71 55 0 82 55 53
Scarpelli 80 40 33 67 47 78
Sannes 96 53 71 62 63 29
Panzella 55 46 49 0 29 40
Dushkin 87 71 41 64 8 56
Moreland 49 83 46 65 67 45
Philmon 76 54 89 53 81 91
Therurer 81 10 65 27 7 23
Stolley 26 19 58 45 83 73
Aksoy 77 12 60 22 29 90
Latimer 43 80 98 22 36 0
Beauprez 92 54 74 45 51 39
Siefert 26 55 50 57 60 28
Reina 96 27 53 53 62 59
Caplette 71 33 17 41 0 23
Coventon 89 28 87 86 67 70
Frenger 8 93 68 78 10 61
Galuszka 7 50 54 60 73 96
Montalban 96 67 39 58 10 75
Maroon 38 81 14 35 71 16
Driggers 52 66 29 94 40 53
Duplaga 1 48 76 87 26 30
Swedenburg 85 95 91 45 20 75
Isenbarger 29 13 85 54 70 76
Colletta 63 3 68 38 10 22
Finland 5 73 13 83 15 54
Laneve 30 9 11 45 17 20
Bult 1 50 72 66 81 88
Sharpnack 68 63 44 47 99 80
Haggis 82 20 99 80 76 89
Burgs 2 58 3 46 41 93
Divalerio 71 88 69 40 51 62
Kincannon 54 48 0 30 35 28
Vanderwall 47 56 84 62 59 72
Onstead 90 68 12 9 26 87
Becknell 6 83 32 36 54 24
Petruzzi 3 32 73 13 95 87
Manor 76 86 43 66 37 16
Schuppenhauer 90 88 42 71 4 77
Oplinger 16 88 13 27 37 99
Lobach 12 82 78 25 65 9
Ganaway 6 81 19 15 93 43
Travelstead 36 78 27 46 19 77
