Locicero 41 3 68 70 4 17
Zwolinski 98 52 25 36 6 56
Studyvance 97 21 26 75 26 39
Critz 17 68 25 33 69 87
Kierstead 21 16 42 71 77 8
Burnam 24 87 40 12 79 54
Goluba 21 67 65 50 8 92
Lanz 6 29 56 10 19 24
Dinnocenzo 51 24 68 45 94 91
Teager 33 56 32 19 52 78
Bloczynski 13 24 27 62 50 7
Royals 14 30 74 3 12 21
Raygosa 18 44 11 59 39 93
Inabinet 43 96 98 1 7 66
Brodeur 53 39 66 40 0 52
Perozo 82 29 81 33 73 94
Yokum 57 99 72 34 35 74
Loughner 48 18 49 15 27 59
Easlick 52 70 28 75 41 92
Kanjirathinga 32 3 7 2 60 2
Aschmann 56 92 86 92 79 18
Warncke 53 41 94 52 71 7
Libengood 32 86 50 36 84 28
Tappen 80 66 62 92 59 36
Dazey 7 48 91 49 24 46
Yaekel 86 30 5 48 72 29
Blain 60 16 4 96 9 76
Taillon 33 58 77 83 89 31
Burington 89 62 0 93 29 83
Boero 6 19 97 46 1 94
Malcom 33 94 14 23 94 14
Vanalstyne 0 21 81 78 16 78
Plona 0 57 3 59 20 8
Midy 15 92 9 38 92 33
Vititow 34 55 70 44 80 52
Haecker 19 60 96 45 22 51
Twombly 7 4 91 69 71 49
Davers 88 0 29 48 37 38
Pastures 84 94 43 96 36 89
Haylett 54 65 44 57 8 50
Tielking 4 63 22 53 73 44
Ballif 31 33 54 75 5 12
Schange 64 10 69 73 2 92
Saltus 24 0 29 30 8 17
Pruit 77 70 72 8 81 27
Posusta 67 71 93 11 25 74
Wescovich 44 63 29 78 97 22
Gillie 33 29 49 37 60 90
Skutt 37 6 79 39 99 62
Alessi 20 24 95 45 69 74
Landaverde 16 76 99 39 61 53
Kollman 14 43 41 23 28 54
Hazlip 55 86 51 62 91 30
Minge 1 36 83 99 71 94
Batchellor 93 62 77 23 49 15
Noell 30 79 75 63 94 28
Chapa 94 20 26 93 31 36
Tabarez 0 24 53 7 88 17
Lafollette 67 51 6 92 40 56
Amedro 15 82 24 36 96 0
Nimox 8 31 77 42 72 18
Goeller 77 11 68 51 31 63
Krissie 3 85 48 94 51 2
Salos 62 85 72 36 99 59
Bukhari 28 41 5 78 3 4
Sivyer 85 94 64 33 27 46
Acton 44 49 38 73 36 81
Icardo 63 71 13 17 65 38
Tilman 17 96 28 48 35 15
Swords 85 69 52 82 17 77
Montonez 4 13 42 80 18 88
Willrett 91 94 22 92 22 35
Danis 30 27 59 86 36 87
Derderian 19 41 78 60 92 0
Roberson 17 2 27 27 19 68
Skipper 36 98 59 23 1 87
Sas 66 49 66 15 3 54
Cariddi 41 23 54 20 46 67
Mccafferty 63 2 23 9 10 18
Racitano 37 50 9 5 64 33
Mincher 50 26 69 76 33 27
Dillahunty 85 10 58 8 60 72
Salen 54 97 66 56 84 31
Fehrman 31 21 19 25 43 98
Spiroff 21 49 15 47 15 94
Killeagle 25 39 42 15 73 84
Myking 32 47 26 69 56 78
Brabble 9 21 17 7 28 84
Hefty 53 49 43 14 20 79
Groene 85 13 58 68 54 85
Pastorius 37 88 91 87 37 95
Limb 72 57 85 56 87 66
Geeter 66 67 40 67 56 15
Oka 96 35 56 52 76 2
Tizon 47 4 14 27 13 98
Nickol 28 27 38 14 46 72
Finegan 24 19 95 37 63 86
Deckelbaum 38 74 70 75 12 73
Whitenack 88 95 75 16 27 33
Rollinger 84 22 66 16 60 68
Serles 56 16 43 8 21 73
Ingersoll 84 96 54 96 87 25
Nott 72 56 53 32 26 89
Jankoski 5 73 67 19 74 26
Schachterle 43 10 80 96 64 26
